Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.109 -23439.9
0.0958 -23726.9
0.0958 -24014.3
0.0958 -24735.8
0.0958 -25675.8
0.0958 -26956.7
0.0958 -29171.0
0.0958 -34006.6
0.0958 -43782.7
0.0958 -66427.9
0.0958 -112628.0
0.0958 -178639.0
0.0958 -259128.0
0.0958 -346163.0
0.0958 -432354.0
0.0958 -522858.0
0.0958 -606278.0
0.0958 -697112.0
0.0958 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
0.098 nan
