Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.2318 223.35
0.24 217.866
0.2819 212.135
0.4087 203.221
0.464 191.922
0.4653 180.085
0.5199 168.222
0.5996 152.503
0.6171 138.274
0.6306 125.803
0.6282 117.46
0.6751 106.971
0.713 96.2788
0.7069 94.5757
0.7495 85.238
0.7436 81.0249
0.7409 80.1229
0.767 74.8033
0.7906 68.3398
0.7651 68.5189
0.7666 72.2175
0.7875 69.3989
0.7774 69.6483
0.7889 69.3776
0.7973 64.9142
0.8324 54.2756
0.8127 58.0219
0.7995 62.5127
0.8244 58.662
0.8514 51.6891
0.8581 48.4203
0.8409 49.478
0.8416 51.256
0.8305 54.6667
0.8207 56.8882
0.8505 50.6366
0.8658 46.0824
0.8485 48.8857
0.847 50.6376
0.8607 49.1878
0.8661 47.6609
0.8699 45.9658
0.8742 43.6045
0.8785 42.4151
0.882 41.759
0.875 43.1404
0.8815 41.3862
0.8857 39.9692
0.8917 38.6562
0.8916 39.4066
0.8852 41.3424
0.8862 41.684
0.8837 41.9529
0.8859 40.0509
0.8923 38.3744
0.8898 38.5392
0.8872 39.1755
0.8866 38.9346
0.8887 38.3937
0.8885 38.0544
0.8897 38.0988
0.8879 38.598
0.8917 38.2772
0.8933 38.1926
0.8934 38.2565
0.8975 36.2277
0.9043 33.3788
0.9055 33.1366
0.9015 34.2196
0.8917 36.4526
0.8951 35.5111
0.9038 33.786
0.9056 33.6825
0.8977 35.6724
0.8961 35.7118
0.8995 34.2695
0.8926 35.1877
0.8894 35.3935
0.8885 35.234
0.8963 33.7481
0.905 32.419
0.908 31.3956
0.9079 31.7161
0.903 33.5107
0.8996 34.6389
0.9061 33.3326
0.9112 32.0369
0.9046 32.775
0.897 34.0346
0.8992 32.8816
0.9065 31.6673
0.9118 30.4968
0.908 31.421
0.9075 31.7291
0.909 31.5968
0.9077 31.8658
0.9107 31.0637
0.9161 29.1428
0.9193 28.0148
0.9166 28.463
0.913 29.7085
0.909 31.1998
0.9119 30.2048
0.9168 27.8713
0.9202 27.0145
0.919 27.3248
0.9163 28.3831
0.9151 28.8637
0.915 28.441
0.9168 27.5665
