Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.1708 226.242
0.2001 220.309
0.2675 213.84
0.3381 204.894
0.4137 194.556
0.453 182.912
0.4513 170.624
0.4209 159.427
0.5114 144.95
0.6306 132.802
0.6748 120.335
0.6953 113.033
0.7609 99.1497
0.7647 93.2274
0.7629 86.2353
0.7604 81.8786
0.7697 76.4389
0.7603 71.3502
0.7868 66.454
0.8162 59.4363
0.8039 62.2191
0.7892 64.6253
0.7796 66.435
0.8195 57.1582
0.8382 51.823
0.8245 55.9014
0.8158 56.5642
0.8364 51.1984
0.8202 54.0544
0.7911 62.7175
0.7866 64.1878
0.838 52.8541
0.8454 47.5199
0.7962 59.8236
0.8117 57.0729
0.8347 53.518
0.8515 49.7357
0.852 50.0099
0.8401 48.8099
0.8216 50.9918
0.8193 51.7277
0.8428 47.1865
0.8671 44.1456
0.8671 45.6429
0.8626 45.9626
0.8655 44.1542
0.8741 40.2093
0.8899 37.1539
0.8934 36.4305
0.8915 37.0644
0.8894 37.9302
0.8922 37.5553
0.8948 36.2996
0.8938 36.3837
0.8909 36.8211
0.8893 36.1036
0.8868 36.5704
0.8785 39.3967
0.8755 40.5708
0.8763 40.2018
0.8896 36.9132
0.9008 33.4617
0.9076 31.8629
0.9047 32.351
0.8986 34.4931
0.8885 36.9998
0.8813 37.7962
0.8966 34.2726
0.9076 30.8678
0.9085 30.4605
0.9097 30.5391
0.9057 30.9463
0.9031 32.0117
0.8943 34.1074
0.8957 34.2227
0.9004 32.6108
0.9031 31.7032
0.9058 31.0228
0.9045 31.6147
0.9006 32.259
0.9041 32.5141
0.9093 31.3813
0.9147 28.9972
0.9095 29.4843
0.905 30.4231
0.9082 29.6693
0.9084 29.3026
0.9102 28.9975
0.9108 28.8729
0.9139 27.7134
0.9168 27.131
0.9119 28.8963
0.9083 29.9039
0.9134 28.6395
0.9174 27.512
0.9205 26.311
0.9186 26.7582
0.9134 28.4399
0.9082 30.038
0.9091 30.1186
0.911 29.2068
0.9179 27.2488
0.9212 26.0342
0.9205 26.0664
0.917 27.0228
0.917 27.3353
0.917 27.0756
0.9193 26.0607
0.9194 25.9906
