Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.0987 228.027
0.1533 224.352
0.2619 220.044
0.3146 215.205
0.3446 209.176
0.3595 202.112
0.4014 193.652
0.4119 184.443
0.4907 174.185
0.5283 160.744
0.5399 151.705
0.5907 139.376
0.6572 126.672
0.6897 119.054
0.7041 110.445
0.7197 100.437
0.7046 99.042
0.7781 82.1422
0.7543 82.446
0.7608 77.6927
0.7985 67.524
0.7979 65.2632
0.7978 64.5926
0.7971 63.8782
0.82 59.4056
0.8071 62.2634
0.8254 57.4322
0.8251 56.1031
0.8351 53.8531
0.8378 53.0716
0.842 52.4389
0.8618 47.2662
0.8701 45.4924
0.8602 48.0794
0.8542 49.2098
0.8547 48.8549
0.8697 44.1388
0.8818 41.5621
0.8688 45.0068
0.8627 47.3835
0.8679 45.9973
0.8723 43.325
0.8759 41.7511
0.8725 42.7321
0.8727 44.5483
0.8781 42.9302
0.8783 41.5764
0.8777 41.0727
0.8807 39.1286
0.8872 37.8532
0.8851 37.9325
0.8787 40.028
0.8725 41.429
0.8669 42.9264
0.8808 39.3248
0.8929 36.9144
0.8915 37.2395
0.8848 39.4156
0.8769 41.4988
0.889 38.1384
0.9014 34.725
0.9008 34.7665
0.8971 35.1647
0.892 35.1152
0.8974 34.3258
0.8985 34.407
0.8964 34.9802
0.8989 34.1096
0.8998 33.5677
0.9003 33.2427
0.904 32.6494
0.9038 33.0741
0.9001 34.4029
0.8901 37.6244
0.8868 38.7749
0.8919 36.9755
0.9016 33.6461
0.9024 33.5989
0.891 36.848
0.877 40.3122
0.8754 40.6263
0.8798 39.185
0.888 35.7632
0.8906 33.9392
0.8961 33.3298
0.8923 35.538
0.9017 33.0952
0.9065 31.1944
0.9067 31.0707
0.9029 32.322
0.8993 33.1033
0.8963 34.4394
0.8972 34.0388
0.9103 29.9731
0.9105 29.429
0.9053 31.4244
0.9016 33.1929
0.8998 33.5996
0.9024 32.2703
0.9048 31.8018
0.9069 31.343
0.9094 30.9306
0.9083 30.4811
0.9107 29.5751
0.9129 29.2326
0.9136 29.0423
0.9136 29.1166
0.9124 29.7557
0.9129 29.6166
0.9121 29.9903
