Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.455 20068.3
0.5424 17786.7
0.3816 17369.3
0.5807 15007.3
0.6617 13538.0
0.7057 12565.7
0.7404 11592.8
0.7793 10826.8
0.7925 10513.5
0.7646 9975.27
0.7914 9489.86
0.7735 9144.51
0.7935 8949.08
0.8012 8578.22
0.802 8312.39
0.8097 8041.88
0.818 7819.65
0.8041 7730.97
0.834 7392.92
0.8116 7449.02
0.8217 7252.0
0.8468 6938.94
0.8396 6872.04
0.8366 6778.21
0.8398 6632.62
0.8338 6691.76
0.8355 6537.33
0.835 6496.81
0.8285 6534.02
0.8556 6161.03
0.8521 6200.36
0.854 6056.51
0.8507 6018.06
0.8541 6090.01
0.8509 6067.6
0.8557 5856.32
0.8573 5805.38
0.863 5673.69
0.861 5648.37
0.8609 5600.3
0.8495 5685.84
0.865 5542.02
0.8545 5592.54
0.8636 5400.75
0.8563 5510.21
0.8669 5285.11
0.8669 5289.37
0.8735 5188.58
0.8752 5179.94
0.8685 5178.32
0.8646 5192.55
0.8745 5138.41
0.8757 5080.48
0.8768 5031.85
0.878 5059.39
0.8727 5009.68
0.8708 5036.99
0.8776 4906.91
0.8787 4873.4
0.8776 4861.15
0.882 4807.21
0.8798 4758.54
0.8752 4888.26
0.8729 4833.82
0.8801 4749.55
0.881 4716.83
0.885 4702.35
0.8826 4658.99
0.8825 4658.97
0.8856 4580.93
0.875 4687.18
0.8825 4558.7
0.885 4547.58
0.8857 4510.64
0.8807 4632.75
0.8815 4600.0
0.8841 4577.42
0.8859 4484.75
0.8877 4497.69
0.8859 4495.1
0.8866 4453.5
0.8888 4442.66
0.8836 4487.55
0.8815 4485.39
0.8875 4391.83
0.8867 4370.16
0.8861 4375.22
0.8899 4325.46
0.8888 4331.58
0.8849 4388.48
0.8893 4300.33
0.885 4320.23
0.8785 4422.68
0.8914 4258.95
0.8913 4261.97
0.8888 4287.36
0.888 4239.21
0.8849 4281.25
0.8887 4219.96
0.8889 4238.11
0.8873 4235.94
0.8901 4198.8
0.8874 4203.52
0.8872 4220.54
0.8851 4254.41
0.8846 4224.96
0.8898 4195.58
0.8902 4183.41
