Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.1975 22813.9
0.1941 21606.9
0.216 20572.6
0.3326 19302.8
0.4685 18018.1
0.614 16904.4
0.6833 15970.1
0.6653 15165.9
0.6642 14377.5
0.6726 13620.8
0.6721 12983.8
0.6759 12445.7
0.6945 11931.5
0.7185 11452.6
0.7358 11010.8
0.7535 10536.5
0.7667 10127.2
0.7783 9755.87
0.7895 9384.06
0.8014 9017.08
0.8098 8686.6
0.8199 8383.86
0.8299 8144.36
0.836 7952.63
0.8389 7801.16
0.8391 7638.43
0.8345 7479.93
0.8341 7310.61
0.8343 7135.86
0.8325 6966.89
0.8343 6796.5
0.8394 6642.7
0.8432 6509.81
0.8442 6412.51
0.841 6303.26
0.8397 6184.81
0.8409 6073.4
0.8448 5962.98
0.8448 5893.13
0.8506 5782.02
0.8562 5654.37
0.8626 5548.4
0.867 5454.56
0.8703 5381.6
0.8711 5321.59
0.8728 5247.77
0.8725 5190.02
0.8726 5153.84
0.8723 5121.03
0.8731 5088.69
0.8754 5042.64
0.8775 4975.38
0.88 4900.96
0.8812 4815.31
0.8824 4758.96
0.8829 4738.43
0.8809 4736.31
0.8786 4750.29
0.8766 4777.24
0.8741 4792.42
0.876 4726.53
0.8805 4638.89
0.8831 4548.24
0.8832 4484.44
0.8846 4420.96
0.8863 4372.64
0.8884 4323.94
0.8891 4288.74
0.8915 4265.21
0.8915 4253.37
0.8909 4238.09
0.8913 4208.6
0.8928 4173.91
0.8929 4132.69
0.8933 4109.8
0.8936 4110.95
0.8926 4121.98
0.8916 4126.92
0.891 4120.92
0.8903 4107.24
0.8915 4083.17
0.8915 4061.2
0.8935 4032.25
0.8945 3990.12
0.8965 3956.01
0.8964 3951.83
0.8942 3962.38
0.8909 3977.16
0.8895 3977.95
0.8901 3953.66
0.8923 3900.02
0.8953 3859.98
0.8976 3819.86
0.8999 3776.51
0.9 3757.6
0.8995 3753.61
0.8993 3777.3
0.8984 3790.62
0.8986 3760.61
0.8995 3726.71
0.8997 3679.41
0.9007 3649.36
0.9016 3634.95
0.9023 3633.9
0.9001 3650.64
0.8976 3675.42
0.8955 3693.21
