Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
0.2288 21669.4
0.4063 19094.4
0.5147 16893.5
0.6 14854.6
0.6663 12871.6
0.7237 11213.5
0.7692 9859.94
0.7843 8863.72
0.7805 8241.35
0.7844 7705.97
0.802 7085.05
0.8183 6469.97
0.8309 6022.99
0.833 5796.07
0.8338 5681.55
0.8343 5576.72
0.8414 5354.24
0.8491 5095.67
0.8584 4823.09
0.8605 4659.54
0.8603 4651.3
0.8543 4782.86
0.8515 4859.54
0.8534 4798.35
0.8601 4559.23
0.8745 4252.5
0.8813 4037.97
0.8844 3884.09
0.8824 3878.49
0.8814 3941.97
0.8783 4040.34
0.8734 4132.42
0.8761 4072.48
0.883 3904.47
0.8895 3735.05
0.8904 3635.79
0.8914 3594.79
0.8848 3709.6
0.8827 3765.49
0.885 3752.83
0.8862 3686.63
0.8904 3604.22
0.8942 3554.78
0.8959 3496.17
0.8984 3471.25
0.8983 3486.23
0.8979 3503.85
0.8969 3478.84
0.8992 3458.87
0.8986 3392.99
0.9021 3318.0
0.9057 3218.66
0.9065 3202.23
0.906 3212.34
0.9027 3265.78
0.9024 3274.47
0.9041 3215.36
0.9029 3214.06
0.9039 3219.29
0.9075 3132.54
0.9092 3069.99
0.91 3041.26
0.91 3074.69
0.9096 3079.17
0.9104 3040.34
0.9124 2971.91
0.9143 2925.53
0.9167 2907.91
0.9171 2873.81
0.9191 2848.95
0.9203 2844.25
0.9198 2893.06
0.9183 2958.07
0.9157 3012.93
0.9164 2982.06
0.9196 2910.81
0.9218 2799.9
0.9235 2715.15
0.923 2673.74
0.9212 2702.43
0.9172 2747.31
0.9177 2756.0
0.9161 2792.51
0.9164 2787.51
0.9188 2761.26
0.9203 2697.07
0.9214 2639.43
0.9209 2621.63
0.9197 2661.9
0.9196 2677.82
0.92 2653.79
0.9206 2655.02
0.9204 2721.06
0.9186 2786.57
0.9183 2816.1
0.9166 2817.33
0.9162 2799.61
0.9192 2726.4
0.9202 2701.53
0.9205 2638.49
0.9209 2621.25
0.9181 2681.84
0.9155 2793.1
0.9131 2924.37
0.9122 2953.24
0.9106 2934.96
0.9149 2864.93
